,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
39,1984,762,28.6,4.26,38.13919239904988,160566,143829,0.1116114245855287,0.2328076927867668,0.16768805351070587,0.03869436867082695,0.006134549032796482,0.0202907215724375,0.10449285652006028,0.01888320067760298,0.08295654123537985,0.14012929262733081,0.26,0.323,0.385,0.708,0.34464332424049926,0.004160282998891421,0.008937134885343099,0.7433516435609033
40,1983,782,28.7,4.31,38.07847321005216,160615,143538,0.11312766553559754,0.23312268468075834,0.16589982255704636,0.040239081032282166,0.006431528811132211,0.020552252280297605,0.1062603119260343,0.02070167792547396,0.08416399464558105,0.13520530461040375,0.261,0.325,0.389,0.714,0.34788158017619775,0.004464091149643558,0.009718893005011985,0.7457398125953367
41,1982,743,28.7,4.3,38.23065970574276,161104,144149,0.11241185817856789,0.23370617737610488,0.16754394676730558,0.039204489025722516,0.0059837123845466285,0.020974029198530142,0.1056398351375509,0.019713973582282253,0.08256778230211541,0.13172236567682988,0.261,0.324,0.389,0.713,0.3478001787665111,0.004202254444334095,0.010800476710696196,0.7496399841096435
42,1981,729,28.6,4.0,37.981348637015785,105892,94467,0.10526763117138216,0.22812865938881124,0.1673119782419824,0.03777433611604276,0.006223321875118044,0.01681902315566804,0.09869489668719073,0.019085483322630603,0.0837457031692668,0.1250047217920145,0.256,0.32,0.369,0.689,0.3288067087220942,0.00438182298946096,0.011823367204321384,0.7581120386809201
43,1980,760,28.2,4.29,38.29216152019002,161210,144160,0.11198436821537125,0.2366106320947832,0.17142857142857143,0.03935860058309038,0.006674523912908629,0.019148936170212766,0.10500589293468147,0.020432975621859688,0.08181874573537622,0.12537683766515725,0.265,0.326,0.388,0.714,0.3467650890143291,0.004075429563922834,0.0116804168475901,0.7577507598784194
44,1979,723,28.0,4.46,38.221639656816016,160378,142792,0.11668059210116101,0.23638528975295864,0.16833356195986982,0.039999251767698814,0.006646796942223996,0.02140567908316602,0.10947885620222225,0.01859980795370936,0.08480589607053336,0.12492361795258701,0.265,0.33,0.397,0.727,0.3538951726546035,0.004701392959134046,0.011822070358777389,0.7522104029230942
45,1978,741,27.7,4.1,37.86679352997145,159192,141567,0.10836599829137143,0.22933313231820696,0.1654982662445349,0.038858736619930646,0.006407357153625811,0.018568772300115582,0.1011231720186944,0.018870294989697976,0.08521785014322328,0.12599879390924168,0.258,0.323,0.379,0.702,0.33671290014573596,0.004849489924116789,0.012475501281471431,0.7527199859289412
46,1977,738,27.4,4.47,38.40870185449358,161547,143975,0.11639337158845413,0.2354546973945663,0.16578457043461037,0.039870749688945016,0.007242474326357036,0.022556902944653876,0.1089218617492123,0.018675679523606135,0.08515787975016559,0.13446241651036542,0.264,0.329,0.401,0.73,0.357481104570187,0.004896407856537107,0.01091942283050753,0.7418274557868608
47,1976,706,27.6,3.99,38.06162970603404,147603,131525,0.10495721631674153,0.22762409978116976,0.17043691523885016,0.035500633455959565,0.006544582427186439,0.015141968659173595,0.09730832029159299,0.020690636369179487,0.08394815823526622,0.12699606376564163,0.255,0.32,0.361,0.681,0.321639804069023,0.004634052153411516,0.012147449577583111,0.7569493844976051
48,1975,726,27.4,4.21,38.42373319544984,148623,131473,0.10963982694468555,0.22784494997409552,0.16710065063953763,0.036622864563358296,0.005968120681186627,0.018153314090012987,0.10195595567307886,0.016982566628314596,0.09017446828552782,0.12972420150313207,0.258,0.327,0.374,0.701,0.33086399816986606,0.0051203380365084815,0.01260235629747751,0.7440436540777673
